frame,quality,det_H,reproj_error_px,frames_since_valid,warmed_up,proc_time_ms
106,0.25,1.501549e-02,0.0,0,1,326.56
107,0.25,1.499212e-02,0.0,0,1,320.37
108,0.25,1.496921e-02,0.0,0,1,321.12
109,0.25,1.494949e-02,0.0,0,1,322.12
110,0.25,1.493015e-02,0.0,0,1,322.9
111,0.25,1.491118e-02,0.0,0,1,322.91
112,0.25,1.489057e-02,0.0,0,1,320.9
113,0.25,1.487036e-02,0.0,0,1,319.98
114,0.25,1.486155e-02,0.0,0,1,325.02
115,0.25,1.485290e-02,0.0,0,1,324.2
116,0.25,1.484248e-02,0.0,0,1,321.33
117,0.25,1.483223e-02,0.0,0,1,321.07
118,0.25,1.482217e-02,0.0,0,1,323.76
119,0.25,1.480981e-02,0.0,0,1,321.3
120,0.25,1.479793e-02,0.0,0,1,320.83
121,0.25,1.478802e-02,0.0,0,1,320.72
122,0.25,1.477828e-02,0.0,0,1,322.07
123,0.25,1.476871e-02,0.0,0,1,322.0
124,0.25,1.475665e-02,0.0,0,1,323.42
125,0.25,1.474480e-02,0.0,0,1,322.41
126,0.25,1.473213e-02,0.0,0,1,321.67
127,0.25,1.471947e-02,0.0,0,1,319.96
128,0.25,1.470875e-02,0.0,0,1,319.09
129,0.25,1.469820e-02,0.0,0,1,320.08
130,0.25,1.468783e-02,0.0,0,1,321.97
131,0.25,1.468120e-02,0.0,0,1,321.87
132,0.25,1.467468e-02,0.0,0,1,320.7
133,0.25,1.466912e-02,0.0,0,1,320.19
134,0.25,1.466364e-02,0.0,0,1,322.84
135,0.25,1.465825e-02,0.0,0,1,321.12
136,0.25,1.465198e-02,0.0,0,1,318.93
137,0.25,1.464581e-02,0.0,0,1,322.11
138,0.25,1.463913e-02,0.0,0,1,322.75
139,0.25,1.463255e-02,0.0,0,1,319.83
140,0.25,1.462427e-02,0.0,0,1,320.03
141,0.25,1.461611e-02,0.0,0,1,319.11
142,0.25,1.460807e-02,0.0,0,1,322.54
143,0.25,1.460037e-02,0.0,0,1,320.78
144,0.25,1.459278e-02,0.0,0,1,320.87
145,0.25,1.458623e-02,0.0,0,1,320.2
146,0.25,1.457978e-02,0.0,0,1,322.29
147,0.25,1.457342e-02,0.0,0,1,319.25
148,0.25,1.456463e-02,0.0,0,1,321.76
149,0.25,1.455596e-02,0.0,0,1,319.64
150,0.25,1.454924e-02,0.0,0,1,322.74
151,0.25,1.454261e-02,0.0,0,1,320.38
152,0.25,1.453681e-02,0.0,0,1,342.43
153,0.25,1.453109e-02,0.0,0,1,344.0
154,0.25,1.452545e-02,0.0,0,1,343.08
155,0.25,1.452166e-02,0.0,0,1,353.83
156,0.25,1.451791e-02,0.0,0,1,352.56
